,fit_time,score_time,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro,c,degree,gamma,kernel,,F1SCORE
35,[40.78485751 41.89172482 45.05354381 45.07799149 17.30157018],[33.50993252 33.41233277 33.36444402 32.606107   15.88479924],[0.752      0.76342857 0.776      0.78171429 0.76685714],[0.75480347 0.76727518 0.77972383 0.78102791 0.76525827],[0.76007114 0.77690489 0.78769248 0.78290622 0.76462783],[0.752      0.76342857 0.776      0.78171429 0.76685714],100,3,"0,0001",poly,,
36,[30.30552197 34.16995788 33.73090482 36.518749   22.20117593],[46.31661701 44.8271718  44.16914177 43.5925684  16.97861242],[0.74742857 0.75657143 0.76685714 0.77142857 0.75657143],[0.74945465 0.76102019 0.77062937 0.77090804 0.75499097],[0.75329537 0.76995484 0.77781271 0.77277972 0.75449398],[0.74742857 0.75657143 0.76685714 0.77142857 0.75657143],100,2,1E-05,poly,,
37,[33.77367735 34.96022916 36.22573686 35.35637689 18.53048921],[37.2600131  38.76423502 38.14462256 39.47177124 17.43881965],[0.752      0.76342857 0.776      0.78171429 0.76571429],[0.75480347 0.76727518 0.77972383 0.78102791 0.76402856],[0.76007114 0.77690489 0.78769248 0.78290622 0.76344613],[0.752      0.76342857 0.776      0.78171429 0.76571429],100,3,1E-05,poly,,
38,[26.43410921 28.76376653 29.14428473 29.33193374 18.50773644],[30.4716084  31.52723384 31.47314239 32.19225049 16.30818033],[0.74742857 0.75542857 0.768      0.76914286 0.75657143],[0.74945465 0.75979246 0.77177295 0.76850746 0.75499097],[0.75329537 0.76868842 0.77916109 0.77024069 0.75449398],[0.74742857 0.75542857 0.768      0.76914286 0.75657143],100,2,1E-06,poly,,
39,[26.22706366 29.07797956 31.24897933 30.14801741 17.91907477],[37.36470819 37.51649308 35.8613553  36.83067179 15.88182211],[0.752      0.76342857 0.776      0.78171429 0.76571429],[0.75480347 0.76727518 0.77972383 0.78102791 0.76402856],[0.76007114 0.77690489 0.78769248 0.78290622 0.76344613],[0.752      0.76342857 0.776      0.78171429 0.76571429],100,3,1E-06,poly,,
40,[109.10751247 112.64431047 111.31521583 112.01137352  58.20724583],[66.40827799 66.19641352 65.4514327  65.76775885 31.28833199],[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],[0.03571429 0.03571429 0.03571429 0.03571429 0.03571429],[0.02040816 0.02040816 0.02040816 0.02040816 0.02040816],[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],1,,"0,0001",sigmoid,,
41,[117.81511664 118.13716817 119.05132532 116.62024713  56.41420341],[66.17370558 66.25898099 65.07931399 68.13666368 34.81488776],[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],[0.03571429 0.03571429 0.03571429 0.03571429 0.03571429],[0.02040816 0.02040816 0.02040816 0.02040816 0.02040816],[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],1,,1E-05,sigmoid,,
42,[132.58309698 135.19415712 129.03364825 132.59554148  61.72596812],[72.48068976 72.10113907 71.14021778 71.32847309 35.11638141],[0.14057143 0.14171429 0.14285714 0.13828571 0.14285714],[0.03521328 0.03546404 0.03571429 0.03471027 0.03571429],[0.02012764 0.02026806 0.02040816 0.01984583 0.02040816],[0.14057143 0.14171429 0.14285714 0.13828571 0.14285714],1,,1E-06,sigmoid,,
43,[129.38927603 127.66112971 131.55822754 129.34746933  56.38186598],[74.71698713 75.61895776 73.63570786 74.85763097 30.75561666],[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],[0.03571429 0.03571429 0.03571429 0.03571429 0.03571429],[0.02040816 0.02040816 0.02040816 0.02040816 0.02040816],[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],10,,"0,0001",sigmoid,,
44,[119.91791177 128.44888043 123.08676982 128.20904899  66.88655496],[76.00020027 78.77058101 79.59949374 79.79801631 31.70560169],[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],[0.03571429 0.03571429 0.03571429 0.03571429 0.03571429],[0.02040816 0.02040816 0.02040816 0.02040816 0.02040816],[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],10,,1E-05,sigmoid,,
45,[107.38330483 110.2522049  111.30009317 119.19943452  57.82284284],[65.41178346 67.21847725 65.92807531 60.97849894 32.09677815],[0.14057143 0.14171429 0.14285714 0.13942857 0.14285714],[0.03521328 0.03546404 0.03571429 0.03496203 0.03571429],[0.02012764 0.02026806 0.02040816 0.01998689 0.02040816],[0.14057143 0.14171429 0.14285714 0.13942857 0.14285714],10,,1E-06,sigmoid,,
46,[119.34494925 112.92657781 108.81122065 109.51832366  55.89059496],[61.46464491 66.12415051 65.34647322 66.49744844 30.96286821],[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],[0.03571429 0.03571429 0.03571429 0.03571429 0.03571429],[0.02040816 0.02040816 0.02040816 0.02040816 0.02040816],[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],50,,"0,0001",sigmoid,,
47,[105.88470817 110.74559951 107.68718553 110.16977954  55.10119224],[63.98924828 61.50613976 62.56281948 65.25191331 30.92042661],[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],[0.03571429 0.03571429 0.03571429 0.03571429 0.03571429],[0.02040816 0.02040816 0.02040816 0.02040816 0.02040816],[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],50,,1E-05,sigmoid,,
48,[120.24622941 106.42589903 106.49320769 103.24997163  60.14118695],[57.67575812 63.29894638 66.29391003 60.45311165 32.26013207],[0.14057143 0.14171429 0.14285714 0.13942857 0.14285714],[0.03521328 0.03546404 0.03571429 0.03496203 0.03571429],[0.02012764 0.02026806 0.02040816 0.01998689 0.02040816],[0.14057143 0.14171429 0.14285714 0.13942857 0.14285714],50,,1E-06,sigmoid,,
49,[108.86639333 104.23267174 106.3072691  115.17068529  57.10132408],[63.97661448 61.34511042 63.96378493 62.10818219 30.91495371],[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],[0.03571429 0.03571429 0.03571429 0.03571429 0.03571429],[0.02040816 0.02040816 0.02040816 0.02040816 0.02040816],[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],100,,"0,0001",sigmoid,,
50,[118.22215581 109.43840814 104.02477407 106.03876352  55.16855216],[58.88651371 63.30823326 66.07737708 61.8313446  30.91572094],[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],[0.03571429 0.03571429 0.03571429 0.03571429 0.03571429],[0.02040816 0.02040816 0.02040816 0.02040816 0.02040816],[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],100,,1E-05,sigmoid,,
51,[112.61786747 112.95140624 106.8326118  106.33696222  57.61338043],[65.15103364 61.36508703 64.74415112 61.92409039 31.93417072],[0.14057143 0.14171429 0.14285714 0.13942857 0.14285714],[0.03521328 0.03546404 0.03571429 0.03496203 0.03571429],[0.02012764 0.02026806 0.02040816 0.01998689 0.02040816],[0.14057143 0.14171429 0.14285714 0.13942857 0.14285714],100,,1E-06,sigmoid,,
